date,message,theme
2020-12-16,"Satsang Diksha granth je vanchshe, mukhpath karshe teni moksha marge gati thashe.",
2020-12-17,Shriji Maharaj ane Guru Paramparana manma je hatu ej Satsang Dikshama lakhayu chhe.,
2020-12-18,"Akshar-Purushottam Maharaj sarvane param shanti, anand ane sukh arpe.",
2020-12-19,A deha muktinu sadhan chhe keval bhognu sadhan nathi.,
2020-12-20,Antarma sukh vartya kare te Aksharnu sukh.,
2020-12-21,Jevi ruchi tevu fal.,
2020-12-22,Pramukh Swamina pagle pagle jivan jivi jaie. (Pramukh Swami Jayanti),
2020-12-23,Panch indriyono ahar shuddha hashe to Bhagwanni akhand smruti raheshe.,
2020-12-24,Maharaj Swamini nishtha thai jay e gnan.,
2020-12-25,Ekadashinu vrat saday param adar thaki karvu.,
2020-12-26,"Bhagwan ane Sadhu kahe tem karvu, to mannu raj tale.",
2020-12-27,Bhagwanna vachanma rahe to Bhagwan jevo anand pame.,
2020-12-28,Sant samagamthi unchu koi sukh nathi.,
2020-12-29,Satsang Diksha shastra e Maharajnu swarup chhe.,
2020-12-30,"Swabhav mukva, to sarve kam thay.",
2020-12-31,Ka sukh Hari ke charan me ka Santan ke mahi.,
2021-01-01,"Jiva to khub baliyo chhe, je dhare te thay. Mate mukhpathma mandi pado.",
2021-01-02,Kasotima par utare tena par ame raji thaie chhie.,
2021-01-03,Niyam-dharma ma dradh rahe te Akshardhamma jay.,
2021-01-04,Bhagwan je kare te saday sara matej hoy.,
2021-01-05,Gharna sabhyoe bhega thaine roj ghar sabha karvi.,
2021-01-06,Nijatmanam brahmarupam deha-traya-vilakshanam;Vibhavyopasanam karyam sadaiva Parabrahmanaha. (116),
2021-01-07,Satsang Dikshano mukhpath = Akshardham.,
2021-01-08,Satsang Diksha shastrani hajaro tula kariye topan ochhi chhe.,
2021-01-09,"Swaminarayan mantra divya, alaukik ane shubh mantra chhe.",
2021-01-10,"Gnani thavu, premi nahi.",
2021-01-11,Satsang Dikshana Sanskrit shlokono mukhpath karnarne Akshar-Purushottam Darshanno vidvan janvo.,
2021-01-12,Bhajan karta-karta kriya karie to antarma tadhu rahe.,
2021-01-13,Satsang Diksha shastra sarva shastrono sar chhe.,
2021-01-14,Agna pramane dashansh-vishansh dharmado ape te sarvasva apya barabar chhe.,
